Shucked,Viscera,Shell,Weight
0.3005,0.152,0.24,0.746
0.2745,0.173,0.275,0.756
0.536,0.2905,0.245,1.153
0.3325,0.1635,0.27,0.8685
0.7035,0.3885,0.395,1.8085
0.7495,0.392,0.485,1.768
0.392,0.246,0.34,0.997
0.61,0.2995,0.445,1.4225
0.4085,0.2705,0.295,1.029
0.4985,0.3015,0.35,1.186
0.479,0.2735,0.265,1.0735
0.68,0.299,0.47,1.719
0.6645,0.3455,0.415,1.566
0.692,0.3265,0.5,1.7605
0.585,0.453,0.6,1.787
0.5095,0.314,0.42,1.31
0.6845,0.3695,0.605,1.7345
0.4995,0.2875,0.25,1.077
0.3705,0.3135,0.33,1.1085
0.216,0.1245,0.135,0.4925
0.252,0.137,0.18,0.5615
0.3165,0.176,0.24,0.7155
0.27,0.131,0.175,0.5885
0.178,0.0985,0.155,0.4335
0.3115,0.152,0.2,0.6935
0.3685,0.1985,0.24,0.8425
0.4625,0.2385,0.28,0.9935
0.528,0.2465,0.39,1.2385
0.3605,0.224,0.36,1.0325
0.5595,0.267,0.4,1.3135
0.367,0.199,0.36,1.005
0.518,0.358,0.505,1.5015
0.2465,0.123,0.2,0.5785
0.3935,0.2435,0.33,1.0915
0.344,0.129,0.375,0.943
0.3775,0.1705,0.385,1.0475
0.38,0.1665,0.295,0.9555
0.275,0.1625,0.285,0.85
0.159,0.077,0.12,0.3635
0.283,0.129,0.275,0.714
0.365,0.159,0.26,0.8205
0.592,0.3175,0.42,1.41
0.581,0.354,0.36,1.4385
0.405,0.2195,0.255,0.9245
0.57,0.3045,0.33,1.2915
0.51,0.259,0.39,1.221
0.293,0.1525,0.235,0.7085
0.3865,0.224,0.265,0.9915
0.5425,0.3035,0.4,1.3905
0.5975,0.305,0.625,1.7445
0.313,0.1715,0.2185,0.7835
0.2895,0.1405,0.177,0.646
0.2645,0.1415,0.181,0.627
0.272,0.1455,0.2765,0.7715
0.1565,0.091,0.1345,0.421
0.7055,0.3215,0.475,1.8075
0.429,0.212,0.26,0.9955
0.381,0.1615,0.315,0.908
0.5235,0.3065,0.36,1.2415
0.44,0.2195,0.285,1.0595
0.5345,0.2855,0.41,1.2895
0.3445,0.2235,0.305,0.953
0.4245,0.2595,0.48,1.248
0.435,0.209,0.3,1.0105
0.427,0.2315,0.345,1.0385
0.3665,0.1635,0.245,0.854
0.378,0.27,0.395,1.1835
0.378,0.2145,0.36,1.115
0.4385,0.256,0.36,1.129
0.4385,0.2305,0.42,1.1745
0.221,0.1265,0.135,0.5185
0.249,0.181,0.21,0.6725
0.031,0.0215,0.025,0.08
0.078,0.059,0.055,0.203
0.0845,0.0385,0.055,0.1885
0.282,0.159,0.235,0.733
0.3965,0.255,0.26,0.9715
0.192,0.1055,0.13,0.458
0.1695,0.086,0.11,0.38
0.093,0.066,0.0885,0.2705
0.242,0.1415,0.179,0.604
0.1585,0.0925,0.131,0.415
0.099,0.051,0.085,0.257
0.3605,0.1555,0.23,0.795
0.4585,0.298,0.37,1.1905
0.519,0.2625,0.44,1.326
0.148,0.0805,0.1175,0.364
0.1715,0.092,0.155,0.452
0.2795,0.163,0.2185,0.7335
0.2005,0.126,0.185,0.5465
0.165,0.1005,0.0985,0.387
0.382,0.2275,0.415,1.066
0.3785,0.201,0.305,0.9535
0.5275,0.2355,0.35,1.133
0.4055,0.2495,0.27,0.982
0.5015,0.3035,0.515,1.3675
0.5565,0.247,0.365,1.233
0.6615,0.3435,0.435,1.4635
0.1735,0.065,0.11,0.363
0.3095,0.1905,0.25,0.8285
0.138,0.058,0.095,0.3095
0.111,0.057,0.075,0.25
0.526,0.2975,0.42,1.514
0.2565,0.186,0.225,0.7135
0.305,0.2245,0.335,0.981
0.1225,0.0635,0.0835,0.286
0.1075,0.06,0.0865,0.265
0.15,0.0825,0.1515,0.4085
0.1525,0.095,0.152,0.433
0.2945,0.138,0.195,0.6785
0.1795,0.1095,0.17,0.498
0.2655,0.1125,0.225,0.658
0.1205,0.061,0.125,0.322
0.1255,0.0525,0.09,0.2815
0.1555,0.095,0.1405,0.391
0.219,0.1365,0.195,0.5735
0.358,0.156,0.315,0.9
0.1695,0.081,0.14,0.447
0.0945,0.0465,0.075,0.2305
0.336,0.2315,0.295,0.97
0.4305,0.2245,0.42,1.14
0.4145,0.1615,0.33,0.9585
0.146,0.0885,0.12,0.3675
0.1045,0.0615,0.09,0.281
0.078,0.054,0.08,0.2245
0.2155,0.14,0.18,0.605
0.1765,0.123,0.175,0.5425
0.2405,0.143,0.205,0.655
0.24,0.169,0.24,0.8115
0.241,0.14,0.24,0.7865
0.158,0.11,0.245,0.64
0.185,0.148,0.19,0.5945
0.25,0.1915,0.265,0.8165
0.093,0.026,0.08,0.2225
0.154,0.094,0.12,0.3915
0.3345,0.2125,0.21,0.8045
0.26,0.1425,0.345,0.927
0.1475,0.1065,0.11,0.3865
0.155,0.1145,0.14,0.444
0.1185,0.091,0.1195,0.3515
0.1895,0.142,0.173,0.536
0.18,0.103,0.123,0.4525
0.0775,0.0435,0.0765,0.207
0.161,0.107,0.195,0.5005
0.2185,0.1195,0.155,0.525
0.261,0.2015,0.165,0.6515
0.2415,0.1735,0.21,0.6435
0.078,0.057,0.06,0.2065
0.2785,0.186,0.215,0.7365
0.2795,0.183,0.26,0.8175
0.34,0.226,0.265,1.001
0.673,0.4805,0.45,1.676
0.187,0.15,0.195,0.612
0.347,0.3045,0.315,1.122
0.369,0.3005,0.275,1.1365
0.469,0.2655,0.41,1.437
0.313,0.1825,0.335,0.946
0.2385,0.221,0.3,0.959
0.403,0.296,0.32,1.153
0.3825,0.234,0.32,1.1325
0.289,0.227,0.233,0.785
0.3485,0.2395,0.278,0.949
0.3155,0.2815,0.2965,0.9805
0.1725,0.1375,0.195,0.537
0.1975,0.13,0.1845,0.5755
0.2475,0.2025,0.1635,0.644
0.309,0.246,0.262,0.8875
0.3145,0.2575,0.263,0.8935
0.1925,0.1315,0.1685,0.556
0.125,0.081,0.117,0.3665
0.2125,0.179,0.24,0.759
0.153,0.1155,0.13,0.4195
0.2855,0.179,0.235,0.807
0.165,0.1315,0.205,0.6835
0.2945,0.113,0.175,0.6395
0.3355,0.129,0.214,0.7555
0.369,0.1725,0.21,0.805
0.429,0.2015,0.2375,0.9185
0.4035,0.175,0.283,0.923
0.362,0.1755,0.2765,0.875
0.442,0.1815,0.2705,0.958
0.498,0.228,0.33,1.11
0.5225,0.296,0.32,1.2095
0.547,0.231,0.271,1.1405
0.5175,0.244,0.305,1.113
0.653,0.1695,0.3205,1.21
0.609,0.2325,0.3985,1.382
0.5585,0.33,0.292,1.377
0.629,0.2605,0.345,1.3435
0.6285,0.275,0.3685,1.3725
0.465,0.162,0.411,1.2085
0.5895,0.285,0.381,1.3825
0.6495,0.361,0.31,1.376
0.668,0.2605,0.2715,1.2945
0.7595,0.332,0.321,1.486
0.5445,0.2945,0.413,1.309
0.784,0.391,0.455,1.8095
0.628,0.3405,0.42,1.4785
0.861,0.322,0.415,1.7775
0.833,0.3775,0.475,1.6675
0.8455,0.422,0.455,1.834
0.2025,0.1095,0.1195,0.4355
0.23,0.106,0.1095,0.482
0.29,0.092,0.146,0.582
0.3245,0.11,0.127,0.5915
0.1995,0.0955,0.129,0.4785
0.3165,0.141,0.1785,0.674
0.367,0.2,0.23,0.834
0.3475,0.173,0.175,0.724
0.325,0.197,0.205,0.7585
0.328,0.232,0.202,0.8495
0.3935,0.196,0.205,0.8215
0.544,0.178,0.218,0.9905
0.368,0.161,0.275,0.8105
0.4525,0.207,0.274,0.967
0.3075,0.1665,0.18,0.6975
0.54,0.255,0.27,1.107
0.538,0.221,0.249,1.103
0.5575,0.2255,0.29,1.1155
0.4095,0.2595,0.276,1.0515
0.5585,0.22,0.29,1.137
0.5155,0.2445,0.25,1.063
0.4515,0.178,0.155,1.121
0.5865,0.2205,0.25,1.114
0.4655,0.2095,0.2515,1.0045
0.5265,0.2645,0.295,1.1345
0.585,0.2595,0.33,1.2525
0.594,0.276,0.388,1.3315
0.6235,0.278,0.365,1.3525
0.4755,0.2475,0.349,1.1435
0.573,0.3035,0.315,1.288
0.5845,0.302,0.401,1.38
0.599,0.284,0.315,1.3075
0.693,0.326,0.409,1.5175
0.4935,0.291,0.4,1.394
0.6145,0.236,0.3185,1.2205
0.684,0.308,0.336,1.4325
0.5475,0.327,0.3,1.2465
0.515,0.2055,0.385,1.212
0.6895,0.331,0.1825,1.494
0.8515,0.3365,0.403,1.6525
0.69,0.3025,0.441,1.528
0.641,0.294,0.335,1.3695
0.739,0.2995,0.435,1.587
0.7645,0.3615,0.553,1.8375
0.8035,0.396,0.503,1.8385
0.693,0.42,0.4045,1.685
0.6655,0.383,0.405,1.56
1.1335,0.44,0.6,2.555
0.246,0.15,0.1405,0.5445
0.261,0.115,0.1385,0.545
0.523,0.1985,0.254,1.019
0.427,0.1855,0.175,0.8145
0.395,0.195,0.223,0.84
0.336,0.1765,0.245,0.6405
0.447,0.2375,0.2645,1.0095
0.412,0.217,0.22,0.8775
0.466,0.229,0.265,0.9945
0.556,0.214,0.2575,1.068
0.435,0.197,0.238,0.869
0.385,0.246,0.265,0.93
0.485,0.2495,0.2565,1.0265
0.5455,0.262,0.25,1.1025
0.611,0.2275,0.292,1.1775
0.433,0.2195,0.357,1.056
0.4615,0.1825,0.2415,0.923
0.447,0.25,0.285,1.027
0.5635,0.2445,0.281,1.1125
0.7335,0.2715,0.332,1.3745
0.5115,0.308,0.2885,1.1565
0.528,0.254,0.305,1.1345
0.6415,0.339,0.4245,1.464
0.5885,0.3725,0.364,1.415
0.546,0.2705,0.476,1.346
0.6075,0.3025,0.353,1.3645
0.664,0.3655,0.4735,1.7025
0.624,0.3105,0.39,1.454
0.7945,0.3485,0.3695,1.5535
0.8545,0.307,0.3995,1.6465
0.6395,0.236,0.301,1.219
0.735,0.381,0.4525,1.652
1.0265,0.48,0.5375,2.103
0.9035,0.469,0.5215,1.9965
0.931,0.38,0.4825,1.8795
1.109,0.5195,0.545,2.236
1.1965,0.513,0.6785,2.505
1.488,0.4985,0.586,2.657
0.184,0.108,0.1245,0.4305
0.206,0.1045,0.141,0.4785
0.335,0.144,0.2075,0.7145
0.4315,0.163,0.2175,0.8655
0.3535,0.163,0.207,0.8
0.2965,0.137,0.2,0.651
0.5565,0.3225,0.2695,1.224
0.4215,0.1685,0.225,0.8495
0.397,0.2525,0.2655,0.9795
0.461,0.147,0.2125,0.857
0.511,0.2095,0.306,1.078
0.4,0.156,0.253,0.858
0.4115,0.196,0.2255,0.98
0.4645,0.112,0.305,1.026
0.4755,0.25,0.28,1.04
0.419,0.1715,0.269,0.8895
0.463,0.2195,0.335,1.076
0.5405,0.2215,0.275,1.0835
0.4475,0.193,0.2895,1.004
0.4905,0.1955,0.3035,1.023
0.484,0.2115,0.355,1.115
0.596,0.3135,0.354,1.293
0.463,0.2685,0.33,1.1295
0.5475,0.256,0.3045,1.15
0.5715,0.326,0.321,1.264
0.5865,0.239,0.3185,1.2035
0.5945,0.345,0.345,1.3205
0.705,0.2645,0.39,1.4595
0.707,0.2725,0.323,1.211
0.4785,0.274,0.349,1.16
0.77,0.378,0.435,1.662
0.7245,0.349,0.391,1.567
0.564,0.3215,0.3985,1.3595
0.6,0.3865,0.383,1.4545
0.724,0.3525,0.3925,1.548
0.615,0.3125,0.3575,1.337
0.6345,0.342,0.435,1.491
0.63,0.487,0.3725,1.5615
0.4375,0.271,0.3745,1.0145
0.7465,0.399,0.4975,1.7635
0.6725,0.374,0.195,1.556
0.96,0.4195,0.43,1.5345
0.743,0.345,0.45,1.614
0.913,0.389,0.51,1.9335
0.697,0.3585,0.595,1.737
0.6785,0.4345,0.52,1.7375
0.949,0.46,0.565,2.1275
1.1565,0.446,0.558,2.25
1.232,0.519,0.612,2.5085
0.8905,0.42,0.7975,2.255
0.281,0.117,0.1335,0.566
0.2655,0.1285,0.144,0.573
0.361,0.1565,0.161,0.6855
0.3565,0.1775,0.203,0.7405
0.375,0.218,0.1945,0.84
0.453,0.161,0.22,0.8745
0.4755,0.1835,0.1835,0.8715
0.65,0.2205,0.3055,1.165
0.475,0.2165,0.2095,0.953
0.613,0.239,0.2515,1.151
0.453,0.2205,0.275,0.9905
0.452,0.2655,0.288,1.04
0.4535,0.193,0.2765,0.9515
0.417,0.2875,0.38,1.201
0.6,0.2945,0.3315,1.289
0.5125,0.229,0.305,1.1005
0.477,0.236,0.275,1.012
0.467,0.268,0.329,1.1105
0.6805,0.259,0.3245,1.336
0.505,0.2655,0.315,1.1345
0.6635,0.3345,0.4025,1.5335
0.7035,0.365,0.415,1.546
0.55,0.3015,0.335,1.318
0.59,0.326,0.495,1.5245
0.702,0.304,0.3195,1.3825
0.695,0.296,0.444,1.5555
0.5945,0.324,0.395,1.389
0.7665,0.3255,0.4685,1.741
0.7535,0.3265,0.32,1.684
0.3005,0.131,0.15,0.6065
0.435,0.149,0.27,0.863
0.3345,0.185,0.21,0.7805
0.509,0.238,0.34,1.116
0.417,0.247,0.47,0.9965
0.4605,0.218,0.36,1.0305
0.428,0.1515,0.23,0.834
0.4305,0.2205,0.253,0.913
0.4175,0.17,0.265,0.9
0.427,0.2045,0.3,0.9735
0.575,0.196,0.305,1.13
0.4495,0.2455,0.325,1.0645
0.468,0.1775,0.275,0.9775
0.4735,0.2345,0.24,0.991
0.393,0.224,0.3345,0.974
0.7285,0.264,0.431,1.434
0.4835,0.2515,0.28,1.0725
0.6025,0.2915,0.3085,1.2405
0.3835,0.223,0.379,1.1155
0.5735,0.2855,0.355,1.2795
0.6685,0.2605,0.335,1.3255
0.4995,0.2435,0.357,1.139
0.582,0.2695,0.313,1.2215
0.464,0.2225,0.3,1.0405
0.6765,0.2615,0.3705,1.362
0.514,0.2325,0.3995,1.1965
0.5805,0.313,0.305,1.2435
0.5385,0.2665,0.38,1.2615
0.5215,0.2695,0.36,1.2235
0.5815,0.276,0.315,1.2415
0.573,0.362,0.36,1.363
0.6925,0.2905,0.35,1.371
0.615,0.3195,0.335,1.337
0.4795,0.223,0.305,1.043
0.5935,0.2745,0.425,1.3485
0.688,0.3805,0.363,1.4405
0.711,0.3125,0.415,1.5175
0.631,0.2925,0.32,1.2915
0.5235,0.3095,0.4275,1.32
0.858,0.339,0.354,1.566
0.74,0.3305,0.465,1.619
0.6045,0.3175,0.3965,1.382
0.714,0.339,0.4705,1.6075
0.7775,0.375,0.438,1.638
0.687,0.3675,0.46,1.569
0.6805,0.48,0.512,1.773
0.6435,0.4565,0.265,1.58
0.9925,0.4925,0.48,1.9805
0.802,0.287,0.435,1.5805
0.631,0.3215,0.435,1.445
1.03,0.487,0.503,2.1425
0.799,0.5195,0.5655,1.9425
0.9655,0.5185,0.482,2.119
0.7735,0.4825,0.575,1.938
0.272,0.131,0.1675,0.597
0.3485,0.215,0.2825,0.8795
0.3765,0.1815,0.1795,0.771
0.567,0.318,0.403,1.358
0.5425,0.2445,0.2845,1.1185
0.543,0.294,0.3345,1.205
0.6535,0.324,0.4155,1.48
0.5195,0.2575,0.3005,1.1135
0.5045,0.238,0.315,1.1155
0.533,0.307,0.291,1.1845
0.4895,0.2295,0.31,1.0725
0.713,0.314,0.466,1.5475
0.5595,0.293,0.4375,1.3405
0.6775,0.33,0.389,1.4465
0.7175,0.3775,0.4215,1.5845
0.805,0.4015,0.3965,1.679
0.6075,0.3675,0.4645,1.5395
1.0715,0.4265,0.5015,2.073
0.347,0.1105,0.195,0.7005
0.3675,0.2005,0.295,0.9455
0.3135,0.1785,0.23,0.8305
0.382,0.1525,0.234,0.803
0.4735,0.202,0.35,1.099
0.3485,0.1925,0.22,0.7955
0.4035,0.173,0.225,0.8265
0.37,0.185,0.3005,0.925
0.4655,0.1955,0.264,0.97
0.466,0.2885,0.298,1.133
0.334,0.1985,0.3,0.862
0.478,0.2945,0.2985,1.1185
0.4255,0.1975,0.265,0.957
0.566,0.2785,0.294,1.1785
0.5815,0.3195,0.3225,1.255
0.372,0.213,0.34,1.062
0.46,0.2965,0.304,1.09
0.4845,0.351,0.375,1.354
0.475,0.2,0.265,0.984
0.5635,0.3065,0.3395,1.2695
0.5065,0.296,0.412,1.3405
0.594,0.314,0.345,1.2895
0.508,0.24,0.34,1.1145
0.4945,0.2555,0.41,1.3115
0.6735,0.3465,0.3255,1.4195
0.7815,0.322,0.4675,1.6195
0.616,0.3655,0.474,1.5535
0.483,0.278,0.3645,1.189
0.531,0.384,0.3985,1.375
0.6195,0.2485,0.497,1.412
0.5855,0.2605,0.394,1.348
0.5925,0.2775,0.49,1.4415
0.4625,0.2955,0.3595,1.2475
0.643,0.2465,0.416,1.4015
0.6295,0.3025,0.4245,1.473
0.605,0.447,0.538,1.773
0.929,0.3835,0.4395,1.866
0.732,0.3605,0.501,1.6705
0.744,0.315,0.488,1.6195
0.83,0.366,0.44,1.8325
0.325,0.1855,0.196,0.741
0.2635,0.1565,0.185,0.6355
0.381,0.2435,0.2675,0.9205
0.342,0.184,0.253,0.8215
0.3875,0.156,0.245,0.8295
0.37,0.177,0.2425,0.837
0.5255,0.252,0.3925,1.3485
0.173,0.0705,0.105,0.368
0.332,0.116,0.1335,0.594
0.3165,0.1315,0.1955,0.689
0.277,0.143,0.1785,0.6355
0.3125,0.1565,0.2035,0.699
0.3265,0.116,0.2365,0.7655
0.368,0.1675,0.1845,0.7505
0.3945,0.1855,0.231,0.844
0.393,0.1735,0.238,0.83
0.3485,0.207,0.192,0.839
0.4145,0.2115,0.356,1.079
0.492,0.2595,0.3375,1.1345
0.438,0.2,0.22,0.909
0.493,0.244,0.2725,1.056
0.818,0.3395,0.4275,1.644
0.73,0.3975,0.462,1.2525
0.747,0.3725,0.488,1.761
0.6835,0.2815,0.28,1.3165
0.8565,0.4825,0.602,2.1
0.6555,0.1965,0.4935,1.6895
0.3045,0.1555,0.175,0.66
0.243,0.1075,0.21,0.616
0.1475,0.0695,0.115,0.3465
0.2175,0.128,0.165,0.5395
0.562,0.3705,0.6,1.6885
0.1405,0.0725,0.08,0.282
0.2705,0.1405,0.185,0.608
0.192,0.1,0.13,0.4585
0.113,0.0675,0.035,0.275
0.2395,0.126,0.185,0.5765
0.2945,0.1625,0.215,0.6985
0.143,0.113,0.12,0.4005
0.361,0.213,0.335,0.932
0.391,0.2455,0.31,0.966
0.405,0.277,0.295,0.9995
0.222,0.105,0.16,0.5065
0.1405,0.0765,0.11,0.3455
0.8435,0.437,0.5855,1.966
0.1335,0.0465,0.0935,0.3025
0.61,0.3315,0.41,1.3905
0.7245,0.465,0.885,2.1995
0.785,0.492,0.49,1.817
0.377,0.184,0.29,0.897
0.414,0.311,0.3,1.136
0.104,0.0535,0.07,0.2405
0.4805,0.274,0.355,1.1845
0.414,0.187,0.405,1.098
0.3,0.206,0.395,1.071
0.358,0.2035,0.34,0.975
0.462,0.2475,0.445,1.283
0.358,0.165,0.445,1.0595
0.295,0.1715,0.185,0.6865
0.243,0.115,0.195,0.585
0.419,0.264,0.3,1.0405
0.525,0.4075,0.585,1.596
0.5195,0.36,0.44,1.4005
0.4265,0.2285,0.51,1.406
0.0515,0.0235,0.04,0.14
0.5115,0.2595,0.665,1.5765
0.3245,0.205,0.525,1.2125
0.5065,0.219,0.52,1.366
0.165,0.0995,0.155,0.445
0.1965,0.1325,0.175,0.5725
0.276,0.196,0.25,0.764
0.2385,0.1155,0.19,0.5885
0.3395,0.2005,0.2,0.7875
0.4505,0.2445,0.53,1.352
0.296,0.195,0.39,0.958
0.297,0.15,0.265,0.797
0.267,0.15,0.215,0.692
0.2675,0.155,0.25,0.729
0.3575,0.2045,0.295,0.903
0.3305,0.1845,0.295,0.903
0.422,0.2435,0.33,1.106
0.2105,0.105,0.16,0.4755
0.152,0.0915,0.125,0.3785
0.1735,0.07,0.185,0.486
0.12,0.074,0.105,0.3105
0.2295,0.1495,0.15,0.543
0.345,0.2495,0.315,0.998
0.4125,0.2205,0.38,1.1
0.639,0.305,0.36,1.4285
0.506,0.2525,0.295,1.1005
0.312,0.196,0.3,0.9215
0.581,0.2875,0.32,1.456
0.8955,0.405,0.62,2.226
0.5735,0.261,0.36,1.2125
0.391,0.216,0.42,1.0675
0.3465,0.189,0.295,0.8525
0.511,0.2675,0.32,1.162
0.3735,0.219,0.25,0.8705
0.519,0.348,0.37,1.406
0.403,0.245,0.355,1.0935
0.4345,0.2475,0.425,1.1805
0.3125,0.179,0.175,0.6905
0.3235,0.173,0.195,0.7145
0.1365,0.0745,0.1,0.3315
0.4305,0.23,0.285,0.974
0.1545,0.075,0.095,0.3215
0.3325,0.1725,0.285,0.8045
0.322,0.181,0.25,0.8075
0.277,0.1445,0.21,0.6375
0.385,0.2015,0.23,0.813
0.399,0.257,0.265,0.94
0.302,0.179,0.26,0.775
0.485,0.218,0.365,1.1445
0.2225,0.129,0.23,0.6
0.143,0.1005,0.125,0.384
0.391,0.165,0.275,0.925
0.251,0.1175,0.2,0.6185
0.2695,0.153,0.205,0.6515
0.5775,0.2815,0.475,1.496
0.12,0.082,0.1,0.3605
0.3345,0.209,0.24,0.7995
0.2815,0.127,0.215,0.6295
0.933,0.59,0.62,2.526
0.3885,0.215,0.275,0.957
0.355,0.1905,0.25,0.9
0.638,0.3365,0.565,1.7265
0.313,0.1715,0.263,0.8025
0.2035,0.0935,0.149,0.4715
0.2765,0.111,0.216,0.631
0.637,0.3415,0.525,1.7265
0.535,0.2205,0.515,1.3445
0.601,0.2565,0.505,1.449
0.2985,0.1875,0.265,0.7745
0.5005,0.291,0.41,1.3665
0.392,0.2035,0.29,1.031
0.4595,0.216,0.315,1.065
0.8045,0.423,0.66,1.969
0.145,0.0725,0.11,0.3575
0.253,0.126,0.185,0.5965
0.154,0.0955,0.109,0.382
0.096,0.037,0.0735,0.2165
0.2265,0.131,0.21,0.6005
0.165,0.083,0.132,0.4285
0.1905,0.117,0.14,0.496
0.2595,0.1445,0.177,0.6195
0.1585,0.102,0.1335,0.4485
0.35,0.152,0.235,0.775
0.3,0.146,0.195,0.6985
0.3515,0.2,0.32,1.017
0.371,0.2705,0.36,1.0705
0.2635,0.12,0.167,0.5895
0.2935,0.19,0.17,0.651
0.1945,0.103,0.155,0.494
0.192,0.1125,0.16,0.4765
0.1905,0.114,0.1475,0.4805
0.1255,0.0655,0.095,0.321
0.289,0.151,0.18,0.6695
0.529,0.2485,0.485,1.312
0.4255,0.232,0.38,1.087
0.54,0.3365,0.555,1.523
0.208,0.1095,0.22,0.579
0.258,0.1755,0.28,0.796
0.071,0.051,0.06,0.197
0.1785,0.114,0.14,0.4565
0.2875,0.1645,0.28,0.884
0.0745,0.0415,0.06,0.1855
0.1125,0.0585,0.0835,0.27
0.186,0.11,0.145,0.463
0.3975,0.2325,0.358,1.099
0.2625,0.095,0.27,0.768
0.276,0.137,0.215,0.6915
0.093,0.0625,0.07,0.227
0.5135,0.343,0.32,1.2985
0.38,0.2455,0.28,1.161
0.1525,0.1165,0.135,0.441
0.2025,0.2005,0.2115,0.742
0.207,0.1905,0.24,0.7
0.275,0.241,0.275,0.8975
